,index,NCTId,Inclusion,Exclusion,description,cluster
20,20,NCT03180086,"women
aged 40-49 years
read and speak English
scheduled for a routine visit or physical examination with a non-resident PCP in the next 4-12 weeks at HealthCare Associates (HCA, BIDMC's outpatient primary care practice).","women scheduled for acute care
women who had or will have a mammogram within 6 months of their PCP visit
women with a history of breast cancer or a BRCA mutation
women already receiving screening breast MRIs
women who have been referred to genetic counseling
women who have taken or are taking tamoxifen or aromatase inhibitors for breast cancer prevention
women with a history of an abnormal mammogram in the past two years
women with a history of breast enlargement or reduction.","women
aged 40-49 years
read and speak English
scheduled for a routine visit or physical examination with a non-resident PCP in the next 4-12 weeks at HealthCare Associates (HCA, BIDMC's outpatient primary care practice).women scheduled for acute care
women who had or will have a mammogram within 6 months of their PCP visit
women with a history of breast cancer or a BRCA mutation
women already receiving screening breast MRIs
women who have been referred to genetic counseling
women who have taken or are taking tamoxifen or aromatase inhibitors for breast cancer prevention
women with a history of an abnormal mammogram in the past two years
women with a history of breast enlargement or reduction.",17
21,21,NCT03240224,"All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan > 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/L","Patients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction","All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan > 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/LPatients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction",15
22,22,NCT04225741,"The participants included did not have any diagnosis of breast cancer, had not been performing breast self-examination regularly (every month), had not previously had a mammogram, had not previously had a clinical breast examination, were not pregnant or breastfeeding and were literate.",Missing data collection forms.,"The participants included did not have any diagnosis of breast cancer, had not been performing breast self-examination regularly (every month), had not previously had a mammogram, had not previously had a clinical breast examination, were not pregnant or breastfeeding and were literate.Missing data collection forms.",17
23,23,NCT01232881,"Written informed consent and HIPAA authorization for release of personal health information. NOTE: HIPAA authorization may be included in the informed consent or obtained separately.
Age > 18 years.
Planned treatment with lonafarnib for metastatic breast cancer.
Must consent to have a biopsy performed to obtain fresh tissue or be able to identify a formalin fixed paraffin embedded (FFPE) tissue block in which tumor samples can be obtained to complete the testing for this study.",Planned treatment with any other treatment regimen,"Written informed consent and HIPAA authorization for release of personal health information. NOTE: HIPAA authorization may be included in the informed consent or obtained separately.
Age > 18 years.
Planned treatment with lonafarnib for metastatic breast cancer.
Must consent to have a biopsy performed to obtain fresh tissue or be able to identify a formalin fixed paraffin embedded (FFPE) tissue block in which tumor samples can be obtained to complete the testing for this study.Planned treatment with any other treatment regimen",13
24,24,NCT00955773,"Capable of giving written informed consent, which includes compliance with the requirements and restrictions listed in the consent form.
Age 18 years old or older and able to swallow oral medication.
Performance Status score of 0 or 1 according to the Eastern Cooperative Oncology (ECOG) scale for Dose Escalation Cohort. Subjects with ECOG of 2 can be enrolled for expansion cohort.
Tumor Type criteria as listed in the protocol
Fasting glucose < 126mg/dL
Male subjects must agree to use one of the contraception methods listed in the protocol.
A female subject is eligible to participate if she is of non-childbearing potential, and if she is of childbearing potential she must use protocol defined contraception methods.
Calcium phosphate product less than or equal to 4.0 mmol2/L2 (50 mg2/dL2)
Adequate organ system function as defined below in the protocol.","Malignancies related to HIV or solid organ transplant.
Primary malignant brain tumors.
Chemotherapy, radiotherapy, or immunotherapy within 28 days (or 42 days for prior nitrosoureas or mitomycin C) prior to the first dose of GSK1120212. Chemotherapy regimens given continuously or on a weekly basis with limited potential for delayed toxicity are permitted with approval of a GSK Medical Monitor if dosing of that agent is terminated at least 14 days prior to the first dose of GSK1120212.
Use of an investigational anti-cancer drug within 28 days or 5 half-lives, whichever is shorter preceding the first dose of GSK1120212 - as long as a minimum of 14 days has passed between the last dose of the prior investigational anti-cancer drug and the first dose of GSK1120212.
Previous treatment with an mTOR inhibitor unless approved by GSK Medical Monitor.
Previous treatment with GSK1120212.
History of sensitivity to any of the study medications, or components thereof or a history of drug or other allergy that, in the opinion of the investigator or GSK Medical Monitor, contraindicates their participation.
Known immediate or delayed hypersensitivity reaction or idiosyncrasy to drugs chemically related to the study drug, DMSO, or excipients. (To date there are no known FDA approved drugs chemically related to GSK1120212).
Use of a prohibited medication (as defined in the protocol).
Current use of anticoagulants (e.g. warfarin, heparin) at therapeutic levels within seven days prior to the first dose of GSK1120212. Low dose (prophylactic) low molecular weight heparin (LMWH) is permitted provided that subject's PT and PTT meet entry criteria. Subjects required therapeutic levels of LMWH must receive approval from GSK Medical Monitor and monitored appropriately as clinically indicated.
Gastrointestinal disease predicted to interfere with absorption of an oral drug, systemic disease, major surgery, or social/psychological issues that in the opinion of investigators would jeopardize compliance with protocol.
History of retinal vein occlusion (RVO) or central serous retinopathy (CSR).
Predisposing factors to RVO including uncontrolled hypertension, uncontrolled diabetes, uncontrolled hyperlipidemia, and coagulopathy.
Visible retinal pathology as assessed by ophthalmologic exam that is considered a risk factor for RVO or CSR.
Intraocular pressure > 21mm Hg as measured by tonography.
Glaucoma diagnosed within 1 month prior to study Day 1.
Symptomatic or untreated leptomeningeal or brain metastases or spinal cord compression. Subjects previously treated for these conditions that are asymptomatic and off corticosteroids for at least two weeks are permitted. Subjects are not permitted to receive enzyme inducing anti-epileptic drugs (EIAEDs).
Unresolved toxicity greater than common terminology criteria for adverse events (CTCAE) grade 1 from previous anti-cancer therapy except alopecia (if applicable) unless agreed to by a GSK Medical Monitor and the Investigator.
History of acute coronary syndromes (including unstable angina), coronary angioplasty, or stenting within the past 24 weeks.
QTc interval ≥ 480 msecs.
Class II, III, or IV heart failure as defined by the New York Heart Association (NYHA) functional classification system.
Pregnant or lactating female.
History or active hepatitis B or C.
History of HIV infection.
Subjects on chronic antifungal therapy.
Unwillingness or inability to follow the procedures outlined in the protocol.","Capable of giving written informed consent, which includes compliance with the requirements and restrictions listed in the consent form.
Age 18 years old or older and able to swallow oral medication.
Performance Status score of 0 or 1 according to the Eastern Cooperative Oncology (ECOG) scale for Dose Escalation Cohort. Subjects with ECOG of 2 can be enrolled for expansion cohort.
Tumor Type criteria as listed in the protocol
Fasting glucose < 126mg/dL
Male subjects must agree to use one of the contraception methods listed in the protocol.
A female subject is eligible to participate if she is of non-childbearing potential, and if she is of childbearing potential she must use protocol defined contraception methods.
Calcium phosphate product less than or equal to 4.0 mmol2/L2 (50 mg2/dL2)
Adequate organ system function as defined below in the protocol.Malignancies related to HIV or solid organ transplant.
Primary malignant brain tumors.
Chemotherapy, radiotherapy, or immunotherapy within 28 days (or 42 days for prior nitrosoureas or mitomycin C) prior to the first dose of GSK1120212. Chemotherapy regimens given continuously or on a weekly basis with limited potential for delayed toxicity are permitted with approval of a GSK Medical Monitor if dosing of that agent is terminated at least 14 days prior to the first dose of GSK1120212.
Use of an investigational anti-cancer drug within 28 days or 5 half-lives, whichever is shorter preceding the first dose of GSK1120212 - as long as a minimum of 14 days has passed between the last dose of the prior investigational anti-cancer drug and the first dose of GSK1120212.
Previous treatment with an mTOR inhibitor unless approved by GSK Medical Monitor.
Previous treatment with GSK1120212.
History of sensitivity to any of the study medications, or components thereof or a history of drug or other allergy that, in the opinion of the investigator or GSK Medical Monitor, contraindicates their participation.
Known immediate or delayed hypersensitivity reaction or idiosyncrasy to drugs chemically related to the study drug, DMSO, or excipients. (To date there are no known FDA approved drugs chemically related to GSK1120212).
Use of a prohibited medication (as defined in the protocol).
Current use of anticoagulants (e.g. warfarin, heparin) at therapeutic levels within seven days prior to the first dose of GSK1120212. Low dose (prophylactic) low molecular weight heparin (LMWH) is permitted provided that subject's PT and PTT meet entry criteria. Subjects required therapeutic levels of LMWH must receive approval from GSK Medical Monitor and monitored appropriately as clinically indicated.
Gastrointestinal disease predicted to interfere with absorption of an oral drug, systemic disease, major surgery, or social/psychological issues that in the opinion of investigators would jeopardize compliance with protocol.
History of retinal vein occlusion (RVO) or central serous retinopathy (CSR).
Predisposing factors to RVO including uncontrolled hypertension, uncontrolled diabetes, uncontrolled hyperlipidemia, and coagulopathy.
Visible retinal pathology as assessed by ophthalmologic exam that is considered a risk factor for RVO or CSR.
Intraocular pressure > 21mm Hg as measured by tonography.
Glaucoma diagnosed within 1 month prior to study Day 1.
Symptomatic or untreated leptomeningeal or brain metastases or spinal cord compression. Subjects previously treated for these conditions that are asymptomatic and off corticosteroids for at least two weeks are permitted. Subjects are not permitted to receive enzyme inducing anti-epileptic drugs (EIAEDs).
Unresolved toxicity greater than common terminology criteria for adverse events (CTCAE) grade 1 from previous anti-cancer therapy except alopecia (if applicable) unless agreed to by a GSK Medical Monitor and the Investigator.
History of acute coronary syndromes (including unstable angina), coronary angioplasty, or stenting within the past 24 weeks.
QTc interval ≥ 480 msecs.
Class II, III, or IV heart failure as defined by the New York Heart Association (NYHA) functional classification system.
Pregnant or lactating female.
History or active hepatitis B or C.
History of HIV infection.
Subjects on chronic antifungal therapy.
Unwillingness or inability to follow the procedures outlined in the protocol.",2
25,25,NCT02550210,"Age greater than or equal to 18 years
Histologic diagnosis of palpable invasive breast cancer or ductal carcinoma in situ
Patient desire to undergo breast surgery
Ability to voluntarily provide informed consent to participate prior to any study-related assessments/procedures being conducted
The cancer enhances on breast MRI imaging.","Absolute contraindication to MRI, including presence of implanted electrical device (pacemaker or neurostimulator), aneurysm clip, or metallic foreign body in or near eyes
Severe claustrophobia
Contraindication to use of gadolinium-based intravenous contrast, including life-threatening allergy or compromised renal function (creatinine > 2.0)
History of median sternotomy
Pregnancy. Patient attestation that they are not pregnant will be acceptable as per standard policy for MRIs at DHMC.","Age greater than or equal to 18 years
Histologic diagnosis of palpable invasive breast cancer or ductal carcinoma in situ
Patient desire to undergo breast surgery
Ability to voluntarily provide informed consent to participate prior to any study-related assessments/procedures being conducted
The cancer enhances on breast MRI imaging.Absolute contraindication to MRI, including presence of implanted electrical device (pacemaker or neurostimulator), aneurysm clip, or metallic foreign body in or near eyes
Severe claustrophobia
Contraindication to use of gadolinium-based intravenous contrast, including life-threatening allergy or compromised renal function (creatinine > 2.0)
History of median sternotomy
Pregnancy. Patient attestation that they are not pregnant will be acceptable as per standard policy for MRIs at DHMC.",24
26,26,NCT01977274,"gynecological cancer suspicion
age > 18
signed informed consent","- emergency

Exclusion criteria after histological exam Any diagnosis that is not a gynecological cancer (ovarian, cervix, endometrium).","gynecological cancer suspicion
age > 18
signed informed consent- emergency

Exclusion criteria after histological exam Any diagnosis that is not a gynecological cancer (ovarian, cervix, endometrium).",1
27,27,NCT02493569,"Female patients;
The hospitalized patients who are confirmed of the primary breast cancer histologically;
The date of the inpatients are within the month we chosen;
Patients who are within the month we chosen have been received or under receiving the relevant treatment including surgical treatment, chemotherapy and radiotherapy.","Male breast cancer patients;
Patients with breast cancer who are not under the chosen time;
Non hospitalized patients.","Female patients;
The hospitalized patients who are confirmed of the primary breast cancer histologically;
The date of the inpatients are within the month we chosen;
Patients who are within the month we chosen have been received or under receiving the relevant treatment including surgical treatment, chemotherapy and radiotherapy.Male breast cancer patients;
Patients with breast cancer who are not under the chosen time;
Non hospitalized patients.",18
28,28,NCT03350490,"All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan ：3 - 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/L","Patients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction","All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan ：3 - 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/LPatients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction",15
29,29,NCT02105545,"Any patient with a malignant diagnosis at the time of diagnosis or relapse
Any age (minimum 0 days old)
Male or Female
Pregnant women are eligible for this study
Patients may have existing, non-oncological genetic disorders
Patients may have received any amount of prior treatment
Participants (or their parent/legal guardian in the case of minors) must have the ability to understand and the willingness to sign a written informed consent or assent form","Subjects for whom sufficient cancer tissues are not available to meet the objectives of the study.
Cognitively impaired adults are excluded from participation
Adults not able to consent for themselves are excluded from participation
Prisoners may not participate in this study","Any patient with a malignant diagnosis at the time of diagnosis or relapse
Any age (minimum 0 days old)
Male or Female
Pregnant women are eligible for this study
Patients may have existing, non-oncological genetic disorders
Patients may have received any amount of prior treatment
Participants (or their parent/legal guardian in the case of minors) must have the ability to understand and the willingness to sign a written informed consent or assent formSubjects for whom sufficient cancer tissues are not available to meet the objectives of the study.
Cognitively impaired adults are excluded from participation
Adults not able to consent for themselves are excluded from participation
Prisoners may not participate in this study",13
30,30,NCT02217865,"Age 21 or older
Able to read and speak English
Able to undergo a 30 to 60-minute interview or focus group
For phase 1: MD Anderson patient undergoing follow-up for curative resection of stage I-IV colon or rectal cancer OR caregiver of such a patient
For phase 2: Colon or rectal cancer patient",,"Age 21 or older
Able to read and speak English
Able to undergo a 30 to 60-minute interview or focus group
For phase 1: MD Anderson patient undergoing follow-up for curative resection of stage I-IV colon or rectal cancer OR caregiver of such a patient
For phase 2: Colon or rectal cancer patientN/A",6
31,31,NCT03350477,"All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan：3-6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/L","Patients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction","All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan：3-6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/LPatients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction",15
32,32,NCT03239184,"All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan > 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/L","Patients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction","All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan > 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/LPatients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction",15
33,33,NCT03239158,"All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan > 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/L","Patients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction","All standard therapies have failed according to NCCN guidelines or the patient refuses standard therapies
Body tumor 1-6, with at least one tumor length > 2 cm
KPS ≥ 70, lifespan > 6 months
Platelet count ≥ 80×109/L，white blood cell count ≥ 3×109/L, neutrophil count ≥ 2×109/L, hemoglobin ≥ 80 g/LPatients with cardiac pacemaker
Patients with brain metastasis
Patients with grade 3 hypertension or diabetic complication, severe cardiac and pulmonary dysfunction",15
