NCTId,Text,clean,tfidf,cluster1
NCT01602666,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,nan,nan,nan,nan,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter nan nan nan nan nan,"[0.42857143 0.27272727 0.42857143 0.5        0.875      0.61904762
 0.5        0.66666667 0.46153846 0.75       0.         0.38461538
 0.91891892 0.83333333 0.         0.46666667 0.66666667 0.66666667
 0.96551724 0.76470588 0.57894737 0.52941176 0.61111111 0.54545455
 0.57894737 0.85714286 0.76923077 0.65       0.66666667 0.8125
 0.66666667 0.66666667 0.66666667 0.72727273 0.5        0.5625
 0.66666667 0.69565217 0.38461538 0.65217391 0.61904762 0.42857143
 0.89655172 0.79411765 0.         0.89285714 0.73333333 0.86956522
 0.61904762 0.875      0.72       0.8125     0.83333333 0.5625
 0.66666667 0.91176471 0.85       0.75862069 0.66666667 0.6
 0.63157895 0.68181818 0.85       0.27272727 0.8125     0.9
 0.91428571 0.9        0.85       0.65       0.73076923 0.85
 0.66666667 0.90322581 0.66666667 0.8125     0.66666667 0.90909091
 0.42857143 0.46666667 0.8125     0.68       0.         0.
 0.90322581 0.75862069 0.92105263]",8
NCT01622868,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,nan,nan,nan,nan,nan,nan,Platelet count greater than or equal to 70000 platelets per cubic milimeter,Platelet count greater than or equal to 70000 platelets per cubic milimeter,nan,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter nan nan nan nan nan nan platelet count greater   equal  70000 platelets per cubic milimeter platelet count greater   equal  70000 platelets per cubic milimeter nan nan,"[0.2        0.5        0.2        0.29411765 0.72       0.45454545
 0.29411765 0.5        0.52941176 0.62068966 0.38461538 0.
 0.875      0.63157895 0.38461538 0.13333333 0.5        0.5
 0.93939394 0.65714286 0.4        0.33333333 0.42105263 0.6875
 0.66666667 0.68181818 0.5        0.47619048 0.5        0.58823529
 0.5        0.5        0.5        0.56521739 0.29411765 0.35294118
 0.5        0.54166667 0.14285714 0.5        0.45454545 0.2
 0.76666667 0.68571429 0.38461538 0.75862069 0.61290323 0.70833333
 0.45454545 0.72       0.57692308 0.58823529 0.63157895 0.35294118
 0.5        0.8        0.66666667 0.63333333 0.5        0.42857143
 0.45       0.52173913 0.66666667 0.5        0.58823529 0.77419355
 0.80555556 0.84848485 0.66666667 0.47619048 0.59259259 0.66666667
 0.5        0.78125    0.62962963 0.58823529 0.5        0.79411765
 0.2        0.25       0.8        0.53846154 0.38461538 0.38461538
 0.78125    0.63333333 0.82051282]",3
NCT01695941,"nan,nan,(HIV =NO) OR (HIV =UNKNOWN) OR (HIV =YES and HAART=No) or (HIV=YES and HAART=YES AND Cytochrome P450 3A4 Inhibitor=NO AND  CD4>= 300 {cells}/mm3 AND Viral Load=undetectable AND AIDS=NO),(HIV =NO) OR (HIV =UNKNOWN) OR (HIV =YES and HAART=No) or (HIV=YES and HAART=YES AND Cytochrome P450 3A4 Inhibitor=NO AND  CD4>= 300 {cells}/mm3 AND Viral Load=undetectable AND AIDS=NO),nan,nan,nan,nan,Platelets count greater than or equal to 75,000/mcL or greater than or equal to 50,000/mcL with documented bone marrow involvement,Platelets count greater than or equal to 75,000/mcL or greater than or equal to 50,000/mcL with documented bone marrow involvement,Leukocyte count greater than or equal to 3000 per microliter,Leukocyte count greater than or equal to 3000 per microliter",nan nan hiv      hiv  unknown    hiv  yes  haart     hiv yes  haart yes  cytochrome p450 3a4 inhibitor   cd4  300  cells mm3  viral load undetectable  aids  hiv      hiv  unknown    hiv  yes  haart     hiv yes  haart yes  cytochrome p450 3a4 inhibitor   cd4  300  cells mm3  viral load undetectable  aids  nan nan nan nan platelets count greater   equal  75 000 mcl  greater   equal  50 000 mcl  documented bone marrow involvement platelets count greater   equal  75 000 mcl  greater   equal  50 000 mcl  documented bone marrow involvement leukocyte count greater   equal  3000 per microliter leukocyte count greater   equal  3000 per microliter,"[0.87804878 0.8974359  0.87804878 0.8        0.69230769 0.84782609
 0.85714286 0.7        0.81081081 0.79591837 0.91891892 0.875
 0.         0.71428571 0.91891892 0.825      0.7        0.7
 0.68292683 0.77777778 0.81395349 0.80487805 0.775      0.94736842
 0.75609756 0.66666667 0.85714286 0.75609756 0.7        0.80555556
 0.73170732 0.7        0.7        0.7        0.8        0.825
 0.7        0.68292683 0.875      0.72093023 0.70731707 0.87804878
 0.56410256 0.7254902  0.91891892 0.58974359 0.70833333 0.61111111
 0.70731707 0.58333333 0.69767442 0.77142857 0.71428571 0.825
 0.7        0.51219512 0.69444444 0.60465116 0.7        0.7
 0.75       0.70731707 0.65714286 0.86842105 0.77142857 0.5
 0.70833333 0.5        0.65714286 0.725      0.73333333 0.65714286
 0.76190476 0.51282051 0.66666667 0.77142857 0.73170732 0.60465116
 0.87804878 0.825      0.6969697  0.6744186  0.91891892 0.91891892
 0.61904762 0.53658537 0.58695652]",4
NCT01711541,"nan,HIV = NO or HIV = Y and HAART = NO,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",nan hiv     hiv     haart    nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.57894737 0.85714286 0.57894737 0.55       0.31578947 0.64
 0.61904762 0.35       0.61111111 0.57142857 0.83333333 0.63157895
 0.71428571 0.         0.83333333 0.52631579 0.35       0.35
 0.90625    0.69444444 0.60869565 0.57142857 0.33333333 0.89473684
 0.85714286 0.55       0.5        0.4        0.35       0.5
 0.625      0.35       0.35       0.35       0.55       0.6
 0.35       0.40909091 0.63157895 0.71428571 0.64       0.57894737
 0.52       0.64705882 0.83333333 0.5        0.6969697  0.36842105
 0.64       0.31578947 0.57692308 0.15384615 0.14285714 0.6
 0.35       0.55172414 0.25       0.5862069  0.35       0.35
 0.45       0.38095238 0.13333333 0.8        0.15384615 0.48
 0.77142857 0.8125     0.13333333 0.31578947 0.68965517 0.13333333
 0.5        0.5        0.62962963 0.15384615 0.42857143 0.5862069
 0.57894737 0.6        0.5        0.68965517 0.83333333 0.83333333
 0.55555556 0.53571429 0.60606061]",6
NCT01711554,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,nan,nan,nan,nan,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter nan nan nan nan nan,"[0.42857143 0.27272727 0.42857143 0.5        0.875      0.61904762
 0.5        0.66666667 0.46153846 0.75       0.         0.38461538
 0.91891892 0.83333333 0.         0.46666667 0.66666667 0.66666667
 0.96551724 0.76470588 0.57894737 0.52941176 0.61111111 0.54545455
 0.57894737 0.85714286 0.76923077 0.65       0.66666667 0.8125
 0.66666667 0.66666667 0.66666667 0.72727273 0.5        0.5625
 0.66666667 0.69565217 0.38461538 0.65217391 0.61904762 0.42857143
 0.89655172 0.79411765 0.         0.89285714 0.73333333 0.86956522
 0.61904762 0.875      0.72       0.8125     0.83333333 0.5625
 0.66666667 0.91176471 0.85       0.75862069 0.66666667 0.6
 0.63157895 0.68181818 0.85       0.27272727 0.8125     0.9
 0.91428571 0.9        0.85       0.65       0.73076923 0.85
 0.66666667 0.90322581 0.66666667 0.8125     0.66666667 0.90909091
 0.42857143 0.46666667 0.8125     0.68       0.         0.
 0.90322581 0.75862069 0.92105263]",8
NCT01730937,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,HIV = NO or HIV = Y and HAART = NO,HIV = NO or HIV = Y and HAART = NO,nan,nan,nan,nan,Platelet count greater than or equal to 70000 platelets per cubic milimeter,Platelet count greater than or equal to 70000 platelets per cubic milimeter,nan,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hiv     hiv     haart    hiv     hiv     haart    nan nan nan nan platelet count greater   equal  70000 platelets per cubic milimeter platelet count greater   equal  70000 platelets per cubic milimeter nan nan,"[0.29411765 0.55555556 0.29411765 0.27777778 0.64       0.43478261
 0.36842105 0.40909091 0.57894737 0.6        0.46666667 0.13333333
 0.825      0.52631579 0.46666667 0.         0.40909091 0.40909091
 0.91176471 0.67567568 0.38095238 0.31578947 0.4        0.64705882
 0.64       0.59090909 0.5625     0.45454545 0.40909091 0.55555556
 0.40909091 0.40909091 0.40909091 0.47826087 0.27777778 0.33333333
 0.40909091 0.45833333 0.25       0.48       0.36363636 0.29411765
 0.7        0.62857143 0.46666667 0.68965517 0.5483871  0.68
 0.36363636 0.64       0.5        0.63157895 0.6        0.33333333
 0.40909091 0.74285714 0.57142857 0.56666667 0.40909091 0.33333333
 0.42857143 0.43478261 0.57142857 0.47058824 0.63157895 0.70967742
 0.78378378 0.82352941 0.57142857 0.38095238 0.51851852 0.57142857
 0.47826087 0.71875    0.55555556 0.63157895 0.47826087 0.77142857
 0.29411765 0.23529412 0.7        0.51851852 0.46666667 0.46666667
 0.75757576 0.56666667 0.76923077]",5
NCT01748825,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,(HIV=NO) OR (HIV =UNKNOWN) OR (HIV=YES AND HAART=NO),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv     hiv  unknown    hiv yes  haart  nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.45454545 0.70833333 0.45454545 0.36363636 0.375      0.53571429
 0.5        0.         0.47619048 0.43333333 0.66666667 0.5
 0.7        0.35       0.66666667 0.40909091 0.         0.
 0.89473684 0.61538462 0.44       0.39130435 0.15       0.72727273
 0.65517241 0.56       0.66666667 0.22727273 0.         0.59090909
 0.4        0.         0.         0.18181818 0.36363636 0.33333333
 0.         0.25       0.5        0.51724138 0.42307692 0.45454545
 0.53333333 0.44117647 0.66666667 0.51724138 0.52941176 0.41666667
 0.42307692 0.375      0.37037037 0.45       0.35       0.33333333
 0.         0.55882353 0.33333333 0.34482759 0.         0.0952381
 0.19047619 0.04761905 0.25       0.59090909 0.45       0.5
 0.75       0.78378378 0.25       0.05       0.44827586 0.25
 0.26086957 0.51612903 0.42857143 0.45       0.0952381  0.58823529
 0.45454545 0.40909091 0.52380952 0.5        0.66666667 0.66666667
 0.5625     0.28571429 0.60526316]",9
NCT01755195,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,(HIV =NO) OR (HIV =UNKNOWN) OR (HIV=YES AND HAART=NO),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv      hiv  unknown    hiv yes  haart  nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.45454545 0.70833333 0.45454545 0.36363636 0.375      0.53571429
 0.5        0.         0.47619048 0.43333333 0.66666667 0.5
 0.7        0.35       0.66666667 0.40909091 0.         0.
 0.89473684 0.61538462 0.44       0.39130435 0.15       0.72727273
 0.65517241 0.56       0.66666667 0.22727273 0.         0.59090909
 0.4        0.         0.         0.18181818 0.36363636 0.33333333
 0.         0.25       0.5        0.51724138 0.42307692 0.45454545
 0.53333333 0.44117647 0.66666667 0.51724138 0.52941176 0.41666667
 0.42307692 0.375      0.37037037 0.45       0.35       0.33333333
 0.         0.55882353 0.33333333 0.34482759 0.         0.0952381
 0.19047619 0.04761905 0.25       0.59090909 0.45       0.5
 0.75       0.78378378 0.25       0.05       0.44827586 0.25
 0.26086957 0.51612903 0.42857143 0.45       0.0952381  0.58823529
 0.45454545 0.40909091 0.52380952 0.5        0.66666667 0.66666667
 0.5625     0.28571429 0.60526316]",9
NCT01771107,"nan,HIV=YES AND Cytochrome P450 3A4 Inhibitor=NO AND (Erythropoietin=YES OR Erythropoietin=NO) AND (Granulocyte Colony-Stimulating Factor=YES OR Granulocyte Colony-Stimulating Factor=NO),nan,nan,Platelets >= 75,000/uL unless related to bone marrow involvement by HIV-cHL,nan",nan hiv yes  cytochrome p450 3a4 inhibitor    erythropoietin yes  erythropoietin     granulocyte colony stimulating factor yes  granulocyte colony stimulating factor  nan nan platelets   75 000 ul unless related  bone marrow involvement  hiv chl nan,"[0.94117647 0.96875    0.94117647 0.91428571 0.89189189 0.925
 0.94444444 0.89473684 0.96969697 0.93478261 0.96551724 0.93939394
 0.68292683 0.90625    0.96551724 0.91176471 0.89473684 0.89473684
 0.         0.90196078 0.92105263 0.91666667 0.91666667 0.92857143
 0.92105263 0.88235294 0.92857143 0.92105263 0.89473684 0.9
 0.92307692 0.89473684 0.89473684 0.89473684 0.91428571 0.87878788
 0.89473684 0.92682927 0.93939394 0.875      0.8974359  0.94117647
 0.9047619  0.92156863 0.96551724 0.90243902 0.91666667 0.88888889
 0.8974359  0.89189189 0.9047619  0.93548387 0.87096774 0.91176471
 0.89473684 0.81395349 0.87878788 0.91304348 0.89473684 0.89473684
 0.91891892 0.8974359  0.87878788 0.93548387 0.93548387 0.79487179
 0.89361702 0.76315789 0.87878788 0.92105263 0.90697674 0.87878788
 0.92307692 0.8        0.9047619  0.93548387 0.89473684 0.91304348
 0.94117647 0.91176471 0.9        0.90697674 0.96551724 0.96551724
 0.90909091 0.80952381 0.82978723]",11
NCT01775475,"Hemoglobin measurement greater than or equal to 8 grams per deciliter and bone marrow involvement should transfuse to greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter and bone marrow involvement should transfuse to greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter and bone marrow involvement should transfuse to greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter and bone marrow involvement should transfuse to greater than or equal to 8 grams per deciliter,antiviral therapy = Y and virological suppression =Y and immunocompromised =NO and viarl load > 400 copies/ML and antiretroviral therapy > 4 months and zidovudivine  = NO,antiviral therapy = Y and virological suppression =Y and immunocompromised =NO and viarl load > 400 copies/ML and antiretroviral therapy > 4 months and zidovudivine  = NO,nan,nan,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  8 grams per deciliter  bone marrow involvement  transfuse  greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter  bone marrow involvement  transfuse  greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter  bone marrow involvement  transfuse  greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter  bone marrow involvement  transfuse  greater   equal  8 grams per deciliter antiviral therapy     virological suppression    immunocompromised    viarl load   400 copies ml  antiretroviral therapy   4 months  zidovudivine    antiviral therapy     virological suppression    immunocompromised    viarl load   400 copies ml  antiretroviral therapy   4 months  zidovudivine    nan nan nan nan platelet count greater   equal  100000 platelets per cubic milimeter platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter leukocyte count greater   equal  3000 per microliter,"[0.62857143 0.75       0.62857143 0.64864865 0.73809524 0.69047619
 0.61111111 0.61538462 0.68571429 0.67391304 0.76470588 0.65714286
 0.77777778 0.69444444 0.76470588 0.67567568 0.61538462 0.61538462
 0.90196078 0.         0.64102564 0.62162162 0.58333333 0.86486486
 0.82222222 0.80952381 0.8        0.60526316 0.61538462 0.78378378
 0.74418605 0.61538462 0.61538462 0.65       0.64864865 0.71052632
 0.61538462 0.63414634 0.65714286 0.73333333 0.72093023 0.62857143
 0.73913043 0.73584906 0.76470588 0.78723404 0.66666667 0.73170732
 0.72093023 0.73809524 0.65116279 0.67647059 0.69444444 0.71052632
 0.61538462 0.71428571 0.74358974 0.65217391 0.61538462 0.57894737
 0.63157895 0.625      0.71052632 0.75       0.67647059 0.74468085
 0.83636364 0.84313725 0.71052632 0.60526316 0.68888889 0.71052632
 0.65       0.75       0.65116279 0.67647059 0.61538462 0.73469388
 0.62857143 0.67567568 0.84615385 0.65909091 0.76470588 0.76470588
 0.72340426 0.68085106 0.75925926]",7
NCT01810913,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,(HIV =NO) OR (HIV =UNKNOWN) (AIDS=NO) OR (Immunocompromised=NO) 

I believe this can be changed to AIDS=NO,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hiv      hiv  unknown   aids     immunocompromised    believe    changed  aids  nan nan platelet count greater   equal  100000 platelets per cubic milimeter nan,"[0.35       0.5        0.35       0.15789474 0.64285714 0.4
 0.25       0.44       0.65217391 0.60606061 0.57894737 0.4
 0.81395349 0.60869565 0.57894737 0.38095238 0.44       0.44
 0.92105263 0.64102564 0.         0.10526316 0.43478261 0.71428571
 0.59259259 0.65384615 0.65       0.41666667 0.44       0.5
 0.5        0.44       0.44       0.5        0.15789474 0.45454545
 0.44       0.53571429 0.4        0.44444444 0.46153846 0.35
 0.65625    0.63157895 0.57894737 0.6875     0.55882353 0.62962963
 0.46153846 0.64285714 0.61290323 0.63636364 0.60869565 0.38095238
 0.44       0.7027027  0.58333333 0.61764706 0.44       0.375
 0.45833333 0.46153846 0.58333333 0.42105263 0.63636364 0.70588235
 0.74358974 0.77777778 0.58333333 0.41666667 0.58064516 0.58333333
 0.375      0.71428571 0.56666667 0.63636364 0.44       0.72972973
 0.35       0.3        0.75       0.42857143 0.57894737 0.57894737
 0.71428571 0.57575758 0.76190476]",3
NCT01822496,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,(HIV =NO) OR (HIV =UNKNOWN) OR (AIDS=NO) OR (Immunocompromised=NO),nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter hiv      hiv  unknown    aids     immunocompromised  nan nan platelet count greater   equal  100000 platelets per cubic milimeter nan,"[0.27777778 0.44444444 0.27777778 0.05882353 0.61538462 0.34782609
 0.16666667 0.39130435 0.61904762 0.58064516 0.52941176 0.33333333
 0.80487805 0.57142857 0.52941176 0.31578947 0.39130435 0.39130435
 0.91666667 0.62162162 0.10526316 0.         0.38095238 0.68421053
 0.56       0.625      0.61111111 0.36363636 0.39130435 0.44444444
 0.45833333 0.39130435 0.39130435 0.45833333 0.05882353 0.4
 0.39130435 0.5        0.33333333 0.4        0.41666667 0.27777778
 0.63333333 0.61111111 0.52941176 0.66666667 0.53125    0.6
 0.41666667 0.61538462 0.5862069  0.6        0.57142857 0.31578947
 0.39130435 0.68571429 0.54545455 0.59375    0.39130435 0.31818182
 0.40909091 0.41666667 0.54545455 0.35294118 0.6        0.6875
 0.72972973 0.76470588 0.54545455 0.36363636 0.55172414 0.54545455
 0.31818182 0.6969697  0.53571429 0.6        0.39130435 0.71428571
 0.27777778 0.22222222 0.72727273 0.38461538 0.52941176 0.52941176
 0.6969697  0.5483871  0.75      ]",5
NCT01822522,"Hemoglobin measurement greater than or equal to 9 grams per deciliter,Hemoglobin measurement greater than or equal to 9 grams per deciliter,HIV = Y,nan,nan,Platelet count greater than or equal to 100000 platelets per cubic milimeter,Leukocyte count greater than or equal to 3000 per microliter",hemoglobin measurement greater   equal  9 grams per deciliter hemoglobin measurement greater   equal  9 grams per deciliter hiv    nan nan platelet count greater   equal  100000 platelets per cubic milimeter leukocyte count greater   equal  3000 per microliter,"[0.36842105 0.66666667 0.36842105 0.35       0.5        0.48
 0.42857143 0.15       0.38888889 0.37037037 0.61111111 0.42105263
 0.775      0.33333333 0.61111111 0.4        0.15       0.15
 0.91666667 0.58333333 0.43478261 0.38095238 0.         0.68421053
 0.71428571 0.68       0.61111111 0.2        0.15       0.6
 0.45833333 0.15       0.15       0.31818182 0.35       0.31578947
 0.15       0.22727273 0.42105263 0.57142857 0.53846154 0.36842105
 0.63333333 0.52941176 0.61111111 0.62068966 0.61764706 0.47826087
 0.53846154 0.5        0.42307692 0.35294118 0.33333333 0.31578947
 0.15       0.64705882 0.47619048 0.44827586 0.15       0.23809524
 0.15789474 0.19047619 0.4        0.6        0.35294118 0.6
 0.79487179 0.83333333 0.4        0.10526316 0.55172414 0.4
 0.23809524 0.61290323 0.53571429 0.35294118 0.15       0.63636364
 0.36842105 0.4        0.66666667 0.55172414 0.61111111 0.61111111
 0.61290323 0.39285714 0.68421053]",1
NCT01841723,"Hemoglobin measurement less than 11 grams per deciliter,Hemoglobin measurement less than 11 grams per deciliter,HIV ,nan,nan,nan,nan",hemoglobin measurement less  11 grams per deciliter hemoglobin measurement less  11 grams per deciliter hiv  nan nan nan nan,"[0.70588235 0.64285714 0.70588235 0.66666667 0.92       0.73913043
 0.73684211 0.72727273 0.57142857 0.79310345 0.54545455 0.6875
 0.94736842 0.89473684 0.54545455 0.64705882 0.72727273 0.72727273
 0.92857143 0.86486486 0.71428571 0.68421053 0.68421053 0.
 0.71428571 0.90909091 0.93333333 0.71428571 0.72727273 0.88235294
 0.72727273 0.72727273 0.72727273 0.7826087  0.66666667 0.64705882
 0.72727273 0.75       0.6875     0.76       0.73913043 0.70588235
 0.93333333 0.82857143 0.54545455 0.93103448 0.8125     0.91666667
 0.73913043 0.92       0.76923077 0.94444444 0.89473684 0.64705882
 0.72727273 0.94285714 0.9047619  0.8        0.72727273 0.72727273
 0.7        0.73913043 0.9047619  0.53846154 0.94444444 0.93548387
 0.94444444 0.93548387 0.9047619  0.71428571 0.77777778 0.9047619
 0.72727273 0.9375     0.76923077 0.94444444 0.72727273 0.94117647
 0.70588235 0.64705882 0.88235294 0.77777778 0.54545455 0.54545455
 0.9375     0.8        0.94871795]",2
NCT01863550,"Hemoglobin measurement greater than or equal to 8 grams per deciliter,Hemoglobin measurement greater than or equal to 8 grams per deciliter,STEP I: HIV=NO OR HIV=UNKNOWN OR (HIV=YES AND CD4>=350{cells}/mm3 AND AIDS=NO AND Zidovudine=NO AND Stavudine=NO),nan,nan,nan,nan",hemoglobin measurement greater   equal  8 grams per deciliter hemoglobin measurement greater   equal  8 grams per deciliter step   hiv   hiv unknown   hiv yes  cd4 350 cells mm3  aids   zidovudine   stavudine  nan nan nan nan,"[0.68       0.57142857 0.68       0.54166667 0.8125     0.66666667
 0.65384615 0.65517241 0.70833333 0.75675676 0.57894737 0.66666667
 0.75609756 0.85714286 0.57894737 0.64       0.65517241 0.65517241
 0.92105263 0.82222222 0.59259259 0.56       0.71428571 0.71428571
 0.         0.65384615 0.875      0.68965517 0.65517241 0.8
 0.55555556 0.65517241 0.65517241 0.7        0.54166667 0.64
 0.65517241 0.63333333 0.66666667 0.44444444 0.46153846 0.68
 0.65625    0.66666667 0.57894737 0.6875     0.6        0.67857143
 0.46153846 0.68965517 0.6969697  0.88888889 0.81481481 0.64
 0.65517241 0.73684211 0.78571429 0.57575758 0.65517241 0.60714286
 0.67857143 0.66666667 0.78571429 0.5        0.88888889 0.81081081
 0.74358974 0.66666667 0.78571429 0.68965517 0.66666667 0.78571429
 0.65517241 0.81578947 0.61290323 0.88888889 0.65517241 0.76315789
 0.68       0.58333333 0.75       0.48275862 0.57894737 0.57894737
 0.71428571 0.61764706 0.84444444]",2
NCT01896999,"nan,(HIV =NO) OR (HIV =UNKNOWN)  OR (HIV =YES AND CD4>400 {cells}/mm3 AND HAART=YES),nan,nan,Platelet count greater than or equal to 75000 platelets per cubic milimeter,nan",nan hiv      hiv  unknown    hiv  yes  cd4 400  cells mm3  haart yes nan nan platelet count greater   equal  75000 platelets per cubic milimeter nan,"[0.69565217 0.875      0.69565217 0.60869565 0.54166667 0.72413793
 0.72       0.56       0.83333333 0.73529412 0.85714286 0.68181818
 0.66666667 0.55       0.85714286 0.59090909 0.56       0.56
 0.88235294 0.80952381 0.65384615 0.625      0.68       0.90909091
 0.65384615 0.         0.5        0.65384615 0.56       0.5
 0.36363636 0.56       0.56       0.56       0.60869565 0.52380952
 0.56       0.53846154 0.68181818 0.5        0.39130435 0.69565217
 0.46153846 0.6        0.85714286 0.44       0.51612903 0.38095238
 0.39130435 0.33333333 0.57142857 0.65       0.55       0.52380952
 0.56       0.5        0.45       0.48275862 0.56       0.56
 0.58333333 0.57692308 0.45       0.77272727 0.65       0.5862069
 0.60606061 0.63333333 0.45       0.6        0.5862069  0.45
 0.66666667 0.6        0.66666667 0.65       0.61538462 0.58064516
 0.69565217 0.52380952 0.57894737 0.53571429 0.85714286 0.85714286
 0.55172414 0.53333333 0.67567568]",0
NCT01897012,"nan,nan,nan,nan,Platelet count greater than or equal to 75000 platelets per cubic milimeter,nan",nan nan nan nan platelet count greater   equal  75000 platelets per cubic milimeter nan,"[0.53333333 0.8125     0.53333333 0.58823529 0.65       0.68181818
 0.58823529 0.66666667 0.75       0.75       0.76923077 0.5
 0.85714286 0.5        0.76923077 0.5625     0.66666667 0.66666667
 0.92857143 0.8        0.65       0.61111111 0.61111111 0.93333333
 0.875      0.5        0.         0.65       0.66666667 0.41666667
 0.6        0.66666667 0.66666667 0.66666667 0.58823529 0.46666667
 0.66666667 0.69565217 0.5        0.70833333 0.68181818 0.53333333
 0.72       0.79411765 0.76923077 0.70833333 0.77419355 0.63157895
 0.68181818 0.65       0.66666667 0.41666667 0.5        0.46666667
 0.66666667 0.72413793 0.5625     0.71428571 0.66666667 0.66666667
 0.55555556 0.68181818 0.5625     0.8125     0.41666667 0.73076923
 0.77419355 0.82142857 0.5625     0.65       0.73076923 0.5625
 0.66666667 0.74074074 0.81481481 0.41666667 0.66666667 0.75862069
 0.53333333 0.46666667 0.73333333 0.73076923 0.76923077 0.76923077
 0.74074074 0.75862069 0.79411765]",13
